asset,lookback,trades,wr_pct,pf,pnl,avg_r,timestamp
GC=F,10,452,40.7,1.373,+2596.38,0.2212,2026-07-16T17:29:13.048128+00:00
GC=F,15,398,43.2,1.522,+3658.02,0.2965,2026-07-16T17:29:13.684194+00:00
GC=F,20,361,40.7,1.374,+2065.85,0.2216,2026-07-16T17:29:14.240191+00:00
GLD,10,340,42.1,1.452,+370.52,0.2618,2026-07-16T17:29:14.543189+00:00
GLD,15,317,41.3,1.409,+278.27,0.2397,2026-07-16T17:29:14.841512+00:00
GLD,20,282,40.8,1.377,+258.05,0.2234,2026-07-16T17:29:15.092516+00:00
